code_insee,nom_commune,lon,lat,score_tension,dep
75056,Paris,2.3616277049180328,48.85022147540984,0.0,75
77322,Moussy-le-Neuf,2.610680566037736,49.072233396226416,86.5,77
77323,Moussy-le-Vieux,2.6209364705882354,49.04711852941176,85.9,77
77333,Nemours,2.712964565217391,48.257905217391304,67.4,77
77389,La Rochette,2.6622672972972974,48.50396216216216,79.8,77
77152,Dammarie-les-Lys,2.6224481818181817,48.51640181818182,82.6,77
77255,Livry-sur-Seine,2.6882985714285716,48.506012857142856,87.1,77
77039,Boissise-la-Bertrand,2.5941209375,48.5330384375,71.9,77
77002,Amillis,3.1410145588235294,48.73303294117647,66.7,77
77013,Aulnoy,3.0869225423728817,48.85084949152542,67.2,77
77018,Bailly-Romainvilliers,2.8170497872340428,48.84387510638298,72.9,77
77024,Bassevelle,3.276508490566038,48.920373207547165,83.4,77
77042,Boissy-le-Châtel,3.1399303571428567,48.826714464285715,77.3,77
77057,Bussières,3.2352701923076923,48.92701076923077,81.3,77
77063,La Celle-sur-Morin,2.97072,48.800821428571425,79.0,77
77070,Chailly-en-Brie,3.1329813888888887,48.78984083333333,61.9,77
77078,Chamigny,3.137500833333333,48.98506833333333,70.9,77
77084,Changis-sur-Marne,3.0270809756097563,48.96691219512195,75.4,77
77106,Chauffry,3.177178478260869,48.82286847826087,75.3,77
77111,Chessy,2.7708512903225806,48.87149741935484,72.9,77
77113,Chevru,3.192930454545454,48.73619242424242,70.4,77
77117,Citry,3.245850322580645,48.96048806451613,85.7,77
77131,Coulommiers,3.0922141379310344,48.81209310344828,69.5,77
77132,Coupvray,2.7921215,48.88843425,80.0,77
77151,Dagny,3.1633935416666668,48.713775416666664,71.7,77
77154,Dammartin-sur-Tigeaux,2.909047575757576,48.810897272727274,83.6,77
77176,Faremoutiers,3.0009975555555557,48.778733333333335,70.7,77
77181,Ferrières-en-Brie,2.7098025,48.81912833333333,43.7,77
77183,La Ferté-sous-Jouarre,3.1323211627906975,48.952393139534884,75.1,77
77206,Giremoutiers,3.033228108108108,48.853788648648646,69.9,77
77219,Guérard,2.950601875,48.813345,79.2,77
77224,Hautefeuille,2.962386285714286,48.767324571428574,84.0,77
77238,Jouarre,3.118294206896552,48.90779593103448,70.0,77
77265,Luzancy,3.17888552631579,48.974175263157896,78.6,77
77268,Magny-le-Hongre,2.817309459459459,48.86511351351351,80.4,77
77270,Maisoncelles-en-Brie,2.9964358333333334,48.85740777777778,78.5,77
77278,Marolles-en-Brie,3.1616134285714286,48.772358857142855,68.3,77
77281,Mauperthuis,3.0376125000000003,48.7698395,66.7,77
77290,Méry-sur-Marne,3.202835454545455,48.97375636363637,79.9,77
77320,Mouroux,3.0516666216216217,48.82613445945946,68.7,77
77331,Nanteuil-sur-Marne,3.22096619047619,48.9789680952381,78.9,77
77360,Pézarches,2.98857775,48.743644,69.1,77
77361,Pierre-Levée,3.039255483870968,48.895374193548385,74.3,77
77371,Pommeuse,3.008022857142857,48.816443142857146,72.3,77
77374,Pontcarré,2.7055439393939396,48.79706303030303,58.1,77
77388,Reuil-en-Brie,3.163686458333333,48.954685833333336,75.1,77
77397,Saâcy-sur-Marne,3.212377647058824,48.95131431372549,79.9,77
77400,Saint-Augustin,3.0289524,48.7894198,63.1,77
77401,Sainte-Aulde,3.1730120408163263,49.00469591836734,75.1,77
77415,Saint-Jean-les-Deux-Jumeaux,3.0238306153846155,48.93967323076923,73.0,77
77433,Beautheil-Saints,3.060093209876543,48.75919098765432,72.1,77
77440,Sammeron,3.0755500000000002,48.940800833333334,69.8,77
77447,Seine-Port,2.5564148484848483,48.55348212121213,73.7,77
77448,Sept-Sorts,3.108422333333333,48.939705000000004,67.4,77
77449,Serris,2.788109696969697,48.84534242424242,64.3,77
77451,Signy-Signets,3.0606376190476188,48.91553126984127,64.3,77
