code_insee,dep,nom_commune,epci_siren,epci_nom,epci_nature,epci_nb_communes,pop_commune,apl_generaliste,apl_gen_moins60,densite_cardio_100k,densite_dermato_100k,densite_gyneco_100k,densite_ophtalmo_100k
75056,75,Paris,200054781,Métropole du Grand Paris,METRO,130,2113705,4.9569494503268805,3.4446525590773818,15.848947700838103,14.760810993019366,25.35831632134096,17.64673878332123
77001,77,Achères-la-Forêt,200072346,CA du Pays de Fontainebleau,CA,26,1183,1.693,1.052,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77002,77,Amillis,200090504,CA Coulommiers Pays de Brie,CA,54,821,2.694,1.417,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77003,77,Amponville,200023240,CC Pays de Nemours,CC,21,351,1.614,0.545,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77004,77,Andrezel,200070779,CC Brie des Rivières et Châteaux,CC,31,324,1.413,1.069,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77005,77,Annet-sur-Marne,200033090,CC Plaines et Monts de France,CC,20,3329,2.466,1.909,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77006,77,Arbonne-la-Forêt,200072346,CA du Pays de Fontainebleau,CA,26,1007,1.356,0.911,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77007,77,Argentières,200070779,CC Brie des Rivières et Châteaux,CC,31,352,1.513,1.124,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77008,77,Armentières-en-Brie,247700065,CC du Pays de l'Ourcq,CC,22,1196,1.426,0.341,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77009,77,Arville,200023919,CC Gâtinais Val de Loing,CC,20,140,1.941,0.696,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77010,77,Aubepierre-Ozouer-le-Repos,247700701,CC Brie Nangissienne,CC,20,965,1.861,1.342,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77011,77,Aufferville,200023919,CC Gâtinais Val de Loing,CC,20,482,2.93,1.224,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77012,77,Augers-en-Brie,200037133,CC du Provinois,CC,39,275,0.546,0.294,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77013,77,Aulnoy,200090504,CA Coulommiers Pays de Brie,CA,54,363,2.661,1.225,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77014,77,Avon,200072346,CA du Pays de Fontainebleau,CA,26,13526,3.481,2.347,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
77015,77,Baby,200040251,CC Bassée-Montois,CC,42,112,1.247,0.465,4.819612241539687,1.1704772586596384,4.6819090346385535,4.8884638449902535
