code_insee,nom_commune,dep,epci_siren,epci_nom,epci_nature,pop_commune,apl_generaliste,densite_cardio_100k,densite_dermato_100k,densite_ophtalmo_100k,densite_gyneco_100k,age_moyen_medecin,t_generaliste,tension_specialistes,t_age,score_tension,rang_epci_pct
75056,Paris,75,200054781,Métropole du Grand Paris,METRO,2113705,4.9569494503268805,15.848947700838103,14.760810993019366,17.64673878332123,25.35831632134096,51.7,0.0,0.0,0.5135135135135147,17.1,0.01
77001,Achères-la-Forêt,77,200072346,CA du Pays de Fontainebleau,CA,1183,1.693,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.788648479147068,0.8591162424904532,0.9189189189189197,85.6,0.96
77002,Amillis,77,200090504,CA Coulommiers Pays de Brie,CA,821,2.694,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.4747569771088116,0.8591162424904532,0.9189189189189197,75.1,0.08
77003,Amponville,77,200023240,CC Pays de Nemours,CC,351,1.614,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.8134211351520853,0.8591162424904532,0.9189189189189197,86.4,1.0
77004,Andrezel,77,200070779,CC Brie des Rivières et Châteaux,CC,324,1.413,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.876450297899028,0.8591162424904532,0.9189189189189197,88.5,0.87
77005,Annet-sur-Marne,77,200033090,CC Plaines et Monts de France,CC,3329,2.466,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.546252743806836,0.8591162424904532,0.9189189189189197,77.5,0.45
77006,Arbonne-la-Forêt,77,200072346,CA du Pays de Fontainebleau,CA,1007,1.356,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.894324239573534,0.8591162424904532,0.9189189189189197,89.1,1.0
77007,Argentières,77,200070779,CC Brie des Rivières et Châteaux,CC,352,1.513,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.8450925054876137,0.8591162424904532,0.9189189189189197,87.4,0.69
77008,Armentières-en-Brie,77,247700065,CC du Pays de l'Ourcq,CC,1196,1.426,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.8723737848855442,0.8591162424904532,0.9189189189189197,88.3,0.86
77009,Arville,77,200023919,CC Gâtinais Val de Loing,CC,140,1.941,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.7108811539667608,0.8591162424904532,0.9189189189189197,83.0,0.45
77010,Aubepierre-Ozouer-le-Repos,77,247700701,CC Brie Nangissienne,CC,965,1.861,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.7359673878958921,0.8591162424904532,0.9189189189189197,83.8,0.2
77011,Aufferville,77,200023919,CC Gâtinais Val de Loing,CC,482,2.93,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,0.400752587017874,0.8591162424904532,0.9189189189189197,72.6,0.05
77012,Augers-en-Brie,77,200037133,CC du Provinois,CC,275,0.546,4.819612241539687,1.1704772586596384,4.8884638449902535,4.6819090346385535,53.2,1.0,0.8591162424904532,0.9189189189189197,92.6,0.94
