code_insee,nom_commune,dep,epci_nom,indicateur,valeur_commune,moyenne_idf,ecart_pct
75056,Paris,75,Métropole du Grand Paris,Cardiologues,15.85,6.28,152.3
77001,Achères-la-Forêt,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77002,Amillis,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77003,Amponville,77,CC Pays de Nemours,Cardiologues,4.82,6.28,-23.3
77004,Andrezel,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77005,Annet-sur-Marne,77,CC Plaines et Monts de France,Cardiologues,4.82,6.28,-23.3
77006,Arbonne-la-Forêt,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77007,Argentières,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77008,Armentières-en-Brie,77,CC du Pays de l'Ourcq,Cardiologues,4.82,6.28,-23.3
77009,Arville,77,CC Gâtinais Val de Loing,Cardiologues,4.82,6.28,-23.3
77010,Aubepierre-Ozouer-le-Repos,77,CC Brie Nangissienne,Cardiologues,4.82,6.28,-23.3
77011,Aufferville,77,CC Gâtinais Val de Loing,Cardiologues,4.82,6.28,-23.3
77012,Augers-en-Brie,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77013,Aulnoy,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77014,Avon,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77015,Baby,77,CC Bassée-Montois,Cardiologues,4.82,6.28,-23.3
77016,Bagneaux-sur-Loing,77,CC Pays de Nemours,Cardiologues,4.82,6.28,-23.3
77018,Bailly-Romainvilliers,77,CA Val d'Europe Agglomération,Cardiologues,4.82,6.28,-23.3
77019,Balloy,77,CC Bassée-Montois,Cardiologues,4.82,6.28,-23.3
77020,Bannost-Villegagnon,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77021,Barbey,77,CC Pays de Montereau,Cardiologues,4.82,6.28,-23.3
77022,Barbizon,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77023,Barcy,77,CA du Pays de Meaux,Cardiologues,4.82,6.28,-23.3
77024,Bassevelle,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77025,Bazoches-lès-Bray,77,CC Bassée-Montois,Cardiologues,4.82,6.28,-23.3
77026,Beauchery-Saint-Martin,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77027,Beaumont-du-Gâtinais,77,CC Gâtinais Val de Loing,Cardiologues,4.82,6.28,-23.3
77029,Beauvoir,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77030,Bellot,77,CC des Deux Morin,Cardiologues,4.82,6.28,-23.3
77031,Bernay-Vilbert,77,CC Val Briard,Cardiologues,4.82,6.28,-23.3
77032,Beton-Bazoches,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77033,Bezalles,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77034,Blandy,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77035,Blennes,77,CC Pays de Montereau,Cardiologues,4.82,6.28,-23.3
77036,Boisdon,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77037,Bois-le-Roi,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77038,Boissettes,77,CA Melun Val de Seine,Cardiologues,4.82,6.28,-23.3
77039,Boissise-la-Bertrand,77,CA Melun Val de Seine,Cardiologues,4.82,6.28,-23.3
77040,Boissise-le-Roi,77,CA Melun Val de Seine,Cardiologues,4.82,6.28,-23.3
77041,Boissy-aux-Cailles,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77042,Boissy-le-Châtel,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77043,Boitron,77,CC des Deux Morin,Cardiologues,4.82,6.28,-23.3
77044,Bombon,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77045,Bougligny,77,CC Gâtinais Val de Loing,Cardiologues,4.82,6.28,-23.3
77046,Boulancourt,77,CC Pays de Nemours,Cardiologues,4.82,6.28,-23.3
77047,Bouleurs,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77048,Bourron-Marlotte,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77049,Boutigny,77,CA du Pays de Meaux,Cardiologues,4.82,6.28,-23.3
77050,Bransles,77,CC Gâtinais Val de Loing,Cardiologues,4.82,6.28,-23.3
77051,Bray-sur-Seine,77,CC Bassée-Montois,Cardiologues,4.82,6.28,-23.3
77052,Bréau,77,CC Brie Nangissienne,Cardiologues,4.82,6.28,-23.3
77053,Brie-Comte-Robert,77,CC l'Orée de la Brie,Cardiologues,4.82,6.28,-23.3
77054,La Brosse-Montceaux,77,CC Pays de Montereau,Cardiologues,4.82,6.28,-23.3
77055,Brou-sur-Chantereine,77,CA Paris - Vallée de la Marne,Cardiologues,4.82,6.28,-23.3
77056,Burcy,77,CC Pays de Nemours,Cardiologues,4.82,6.28,-23.3
77057,Bussières,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77058,Bussy-Saint-Georges,77,CA Marne et Gondoire,Cardiologues,4.82,6.28,-23.3
77059,Bussy-Saint-Martin,77,CA Marne et Gondoire,Cardiologues,4.82,6.28,-23.3
77060,Buthiers,77,CC Pays de Nemours,Cardiologues,4.82,6.28,-23.3
77061,Cannes-Écluse,77,CC Pays de Montereau,Cardiologues,4.82,6.28,-23.3
77062,Carnetin,77,CA Marne et Gondoire,Cardiologues,4.82,6.28,-23.3
77063,La Celle-sur-Morin,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77065,Cély,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77066,Cerneux,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77067,Cesson,77,CA Grand Paris Sud Seine Essonne Sénart,Cardiologues,4.82,6.28,-23.3
77068,Cessoy-en-Montois,77,CC Bassée-Montois,Cardiologues,4.82,6.28,-23.3
77069,Chailly-en-Bière,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77070,Chailly-en-Brie,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77071,Chaintreaux,77,CC Gâtinais Val de Loing,Cardiologues,4.82,6.28,-23.3
77072,Chalautre-la-Grande,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77073,Chalautre-la-Petite,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77075,Chalifert,77,CA Marne et Gondoire,Cardiologues,4.82,6.28,-23.3
77076,Chalmaison,77,CC Bassée-Montois,Cardiologues,4.82,6.28,-23.3
77077,Chambry,77,CA du Pays de Meaux,Cardiologues,4.82,6.28,-23.3
77078,Chamigny,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77079,Champagne-sur-Seine,77,CC Moret Seine et Loing,Cardiologues,4.82,6.28,-23.3
77080,Champcenest,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77081,Champdeuil,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77082,Champeaux,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77083,Champs-sur-Marne,77,CA Paris - Vallée de la Marne,Cardiologues,4.82,6.28,-23.3
77084,Changis-sur-Marne,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77085,Chanteloup-en-Brie,77,CA Marne et Gondoire,Cardiologues,4.82,6.28,-23.3
77086,La Chapelle-Gauthier,77,CC Brie Nangissienne,Cardiologues,4.82,6.28,-23.3
77087,La Chapelle-Iger,77,CC Val Briard,Cardiologues,4.82,6.28,-23.3
77088,La Chapelle-la-Reine,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77089,La Chapelle-Rablais,77,CC Brie Nangissienne,Cardiologues,4.82,6.28,-23.3
77090,La Chapelle-Saint-Sulpice,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77091,Les Chapelles-Bourbon,77,CC Val Briard,Cardiologues,4.82,6.28,-23.3
77093,La Chapelle-Moutils,77,CC des Deux Morin,Cardiologues,4.82,6.28,-23.3
77094,Charmentray,77,CC Plaines et Monts de France,Cardiologues,4.82,6.28,-23.3
77095,Charny,77,CC Plaines et Monts de France,Cardiologues,4.82,6.28,-23.3
77096,Chartrettes,77,CA du Pays de Fontainebleau,Cardiologues,4.82,6.28,-23.3
77097,Chartronges,77,CC des Deux Morin,Cardiologues,4.82,6.28,-23.3
77098,Châteaubleau,77,CC Brie Nangissienne,Cardiologues,4.82,6.28,-23.3
77099,Château-Landon,77,CC Gâtinais Val de Loing,Cardiologues,4.82,6.28,-23.3
77100,Le Châtelet-en-Brie,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77101,Châtenay-sur-Seine,77,CC Bassée-Montois,Cardiologues,4.82,6.28,-23.3
77102,Châtenoy,77,CC Pays de Nemours,Cardiologues,4.82,6.28,-23.3
77103,Châtillon-la-Borde,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77104,Châtres,77,CC Val Briard,Cardiologues,4.82,6.28,-23.3
77106,Chauffry,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77107,Chaumes-en-Brie,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77108,Chelles,77,CA Paris - Vallée de la Marne,Cardiologues,4.82,6.28,-23.3
77109,Chenoise-Cucharmoy,77,CC du Provinois,Cardiologues,4.82,6.28,-23.3
77110,Chenou,77,CC Gâtinais Val de Loing,Cardiologues,4.82,6.28,-23.3
77111,Chessy,77,CA Val d'Europe Agglomération,Cardiologues,4.82,6.28,-23.3
77112,Chevrainvilliers,77,CC Pays de Nemours,Cardiologues,4.82,6.28,-23.3
77113,Chevru,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77114,Chevry-Cossigny,77,CC l'Orée de la Brie,Cardiologues,4.82,6.28,-23.3
77115,Chevry-en-Sereine,77,CC Pays de Montereau,Cardiologues,4.82,6.28,-23.3
77116,Choisy-en-Brie,77,CC des Deux Morin,Cardiologues,4.82,6.28,-23.3
77117,Citry,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77118,Claye-Souilly,77,CA Roissy Pays de France,Cardiologues,4.82,6.28,-23.3
77119,Clos-Fontaine,77,CC Brie Nangissienne,Cardiologues,4.82,6.28,-23.3
77120,Cocherel,77,CC du Pays de l'Ourcq,Cardiologues,4.82,6.28,-23.3
77121,Collégien,77,CA Marne et Gondoire,Cardiologues,4.82,6.28,-23.3
77122,Combs-la-Ville,77,CA Grand Paris Sud Seine Essonne Sénart,Cardiologues,4.82,6.28,-23.3
77123,Compans,77,CA Roissy Pays de France,Cardiologues,4.82,6.28,-23.3
77124,Conches-sur-Gondoire,77,CA Marne et Gondoire,Cardiologues,4.82,6.28,-23.3
77125,Condé-Sainte-Libiaire,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77126,Congis-sur-Thérouanne,77,CC du Pays de l'Ourcq,Cardiologues,4.82,6.28,-23.3
77127,Coubert,77,CC Brie des Rivières et Châteaux,Cardiologues,4.82,6.28,-23.3
77128,Couilly-Pont-aux-Dames,77,CA Coulommiers Pays de Brie,Cardiologues,4.82,6.28,-23.3
77129,Coulombs-en-Valois,77,CC du Pays de l'Ourcq,Cardiologues,4.82,6.28,-23.3
